Time(s),CH1V,CH4V
-2.940000e-06,-1.733333e-02,-1.360000e-02
-2.920000e-06,-2.266666e-02,-1.026667e-02
-2.900000e-06,-6.133333e-02,-1.360000e-02
-2.880000e-06,-4.466666e-02,-2.146667e-02
-2.860000e-06,-8.333333e-02,-2.266667e-02
-2.840000e-06,-1.326666e-01,-1.240000e-02
-2.820000e-06,-7.199999e-02,-1.813333e-02
-2.800000e-06,3.200000e-02,-1.240000e-02
-2.780000e-06,9.999999e-03,-1.133333e-02
-2.760000e-06,9.999999e-03,-1.693333e-02
-2.740000e-06,-3.400000e-02,-1.466667e-02
-2.720000e-06,-3.400000e-02,-1.920000e-02
-2.700000e-06,-1.733333e-02,-2.826667e-02
-2.680000e-06,-6.666666e-02,-2.826667e-02
-2.660000e-06,-8.866666e-02,-1.813333e-02
-2.640000e-06,9.999999e-03,-1.200000e-03
-2.620000e-06,-4.999999e-02,-1.026667e-02
-2.600000e-06,3.200000e-02,-2.373333e-02
-2.580000e-06,-2.266666e-02,-1.133333e-02
-2.560000e-06,-5.533333e-02,-3.466667e-03
-2.540000e-06,-1.733333e-02,-1.360000e-02
-2.520000e-06,-1.326666e-01,-2.826667e-02
-2.500000e-06,-2.266666e-02,-1.693333e-02
-2.480000e-06,9.999999e-03,-1.466667e-02
-2.460000e-06,-1.200000e-02,-6.800000e-03
-2.440000e-06,-1.326666e-01,-1.200000e-03
-2.420000e-06,-3.933333e-02,-1.586667e-02
-2.400000e-06,-6.666666e-04,3.333333e-03
-2.380000e-06,-6.000000e-03,-1.466667e-02
-2.360000e-06,-8.866666e-02,-2.373333e-02
-2.340000e-06,-2.800000e-02,-1.133333e-02
-2.320000e-06,-5.533333e-02,-8.000000e-03
-2.300000e-06,-3.933333e-02,-3.466667e-03
-2.280000e-06,-6.666666e-02,-3.466667e-03
-2.260000e-06,-2.266666e-02,-6.800000e-03
-2.240000e-06,-3.400000e-02,-1.200000e-03
-2.220000e-06,-2.800000e-02,-2.720000e-02
-2.200000e-06,-1.433333e-01,-1.920000e-02
-2.180000e-06,-5.533333e-02,-9.066666e-03
-2.160000e-06,-5.533333e-02,-1.693333e-02
-2.140000e-06,-4.466666e-02,-1.586667e-02
-2.120000e-06,-3.400000e-02,-1.240000e-02
-2.100000e-06,-2.800000e-02,-9.066666e-03
-2.080000e-06,-2.266666e-02,-1.240000e-02
-2.060000e-06,-6.666666e-02,-2.266667e-02
-2.040000e-06,-5.533333e-02,-3.466667e-03
-2.020000e-06,-4.999999e-02,-1.240000e-02
-2.000000e-06,-4.466666e-02,-1.200000e-03
-1.980000e-06,2.133333e-02,-2.600000e-02
-1.960000e-06,-1.200000e-02,5.600000e-03
-1.940000e-06,-1.200000e-02,-1.693333e-02
-1.920000e-06,3.200000e-02,-1.693333e-02
-1.900000e-06,-2.266666e-02,-2.373333e-02
-1.880000e-06,-6.666666e-02,-2.146667e-02
-1.860000e-06,-2.800000e-02,-1.813333e-02
-1.840000e-06,-1.200000e-02,-8.000000e-03
-1.820000e-06,-5.533333e-02,-1.360000e-02
-1.800000e-06,-3.400000e-02,-1.240000e-02
-1.780000e-06,-4.466666e-02,-1.133333e-02
-1.760000e-06,2.133333e-02,-1.200000e-03
-1.740000e-06,-3.933333e-02,-1.240000e-02
-1.720000e-06,-5.533333e-02,-2.146667e-02
-1.700000e-06,-7.199999e-02,-1.133333e-02
-1.680000e-06,9.999999e-03,-1.240000e-02
-1.660000e-06,-4.466666e-02,-4.533333e-03
-1.640000e-06,-5.533333e-02,-2.146667e-02
-1.620000e-06,-3.400000e-02,-1.026667e-02
-1.600000e-06,2.133333e-02,-3.466667e-03
-1.580000e-06,-4.466666e-02,-2.826667e-02
-1.560000e-06,-6.666666e-02,-2.600000e-02
-1.540000e-06,-3.400000e-02,-2.266667e-02
-1.520000e-06,-4.466666e-02,-2.146667e-02
-1.500000e-06,-2.800000e-02,-1.466667e-02
-1.480000e-06,-4.466666e-02,-3.466667e-03
-1.460000e-06,3.200000e-02,-6.800000e-03
-1.440000e-06,3.200000e-02,-1.200000e-03
-1.420000e-06,-2.800000e-02,-1.026667e-02
-1.400000e-06,-6.666666e-04,-1.920000e-02
-1.380000e-06,-6.000000e-03,-1.360000e-02
-1.360000e-06,-5.533333e-02,-1.693333e-02
-1.340000e-06,-3.933333e-02,-2.040000e-02
-1.320000e-06,-7.733332e-02,-2.373333e-02
-1.300000e-06,-7.733332e-02,-4.533333e-03
-1.280000e-06,-5.533333e-02,-2.373333e-02
-1.260000e-06,-6.000000e-03,-1.813333e-02
-1.240000e-06,-1.106667e-01,-1.693333e-02
-1.220000e-06,1.533333e-02,-1.240000e-02
-1.200000e-06,-1.200000e-02,1.066667e-03
-1.180000e-06,-7.199999e-02,-8.000000e-03
-1.160000e-06,-8.866666e-02,-1.693333e-02
-1.140000e-06,-6.000000e-03,-1.466667e-02
-1.120000e-06,-6.666666e-04,-2.600000e-02
-1.100000e-06,-1.733333e-02,-9.066666e-03
-1.080000e-06,-8.866666e-02,-1.693333e-02
-1.060000e-06,-6.133333e-02,-9.066666e-03
-1.040000e-06,3.200000e-02,1.066667e-03
-1.020000e-06,-3.400000e-02,-1.813333e-02
-1.000000e-06,2.133333e-02,-1.240000e-02
-9.800000e-07,-3.400000e-02,-1.360000e-02
-9.600000e-07,-2.266666e-02,-1.240000e-02
-9.400000e-07,-4.466666e-02,-1.693333e-02
-9.200000e-07,-8.866666e-02,-8.000000e-03
-9.000000e-07,-1.200000e-02,-1.133333e-02
-8.800000e-07,3.200000e-02,-1.240000e-02
-8.600000e-07,-2.800000e-02,-8.000000e-03
-8.400000e-07,-2.266666e-02,-1.026667e-02
-8.200000e-07,-1.200000e-02,-1.240000e-02
-8.000000e-07,-5.533333e-02,-1.200000e-03
-7.800000e-07,-4.466666e-02,-1.240000e-02
-7.600000e-07,-1.213333e-01,-1.920000e-02
-7.400000e-07,-2.800000e-02,-9.066666e-03
-7.200000e-07,9.999999e-03,-1.920000e-02
-7.000000e-07,-2.266666e-02,3.333333e-03
-6.800000e-07,-1.200000e-02,3.333333e-03
-6.600000e-07,-6.000000e-03,-6.800000e-03
-6.400000e-07,-6.666666e-04,-1.693333e-02
-6.200000e-07,-5.533333e-02,-1.200000e-03
