Time(s),CH1V
-2.432000e-02,4.560000e-02
-2.416000e-02,6.813333e-02
-2.400000e-02,9.066667e-02
-2.384000e-02,4.786667e-02
-2.368000e-02,5.680000e-02
-2.352000e-02,4.560000e-02
-2.336000e-02,5.013333e-02
-2.320000e-02,5.680000e-02
-2.304000e-02,8.840000e-02
-2.288000e-02,6.586666e-02
-2.272000e-02,4.106667e-02
-2.256000e-02,5.906667e-02
-2.240000e-02,2.986667e-02
-2.224000e-02,5.240000e-02
-2.208000e-02,8.160000e-02
-2.192000e-02,5.906667e-02
-2.176000e-02,5.013333e-02
-2.160000e-02,6.586666e-02
-2.144000e-02,7.706667e-02
-2.128000e-02,7.266667e-02
-2.112000e-02,6.360000e-02
-2.096000e-02,7.266667e-02
-2.080000e-02,7.040000e-02
-2.064000e-02,5.240000e-02
-2.048000e-02,5.680000e-02
-2.032000e-02,6.813333e-02
-2.016000e-02,7.933334e-02
-2.000000e-02,5.240000e-02
-1.984000e-02,5.906667e-02
-1.968000e-02,5.240000e-02
-1.952000e-02,6.133333e-02
-1.936000e-02,5.906667e-02
-1.920000e-02,7.040000e-02
-1.904000e-02,3.653333e-02
-1.888000e-02,4.106667e-02
-1.872000e-02,7.933334e-02
-1.856000e-02,6.586666e-02
-1.840000e-02,6.360000e-02
-1.824000e-02,7.040000e-02
-1.808000e-02,8.386667e-02
-1.792000e-02,8.160000e-02
-1.776000e-02,5.906667e-02
-1.760000e-02,6.813333e-02
-1.744000e-02,9.066667e-02
-1.728000e-02,7.933334e-02
-1.712000e-02,4.333333e-02
-1.696000e-02,5.466667e-02
-1.680000e-02,7.493334e-02
-1.664000e-02,6.813333e-02
-1.648000e-02,4.560000e-02
-1.632000e-02,6.360000e-02
-1.616000e-02,6.586666e-02
-1.600000e-02,7.933334e-02
-1.584000e-02,4.333333e-02
-1.568000e-02,5.240000e-02
-1.552000e-02,6.360000e-02
-1.536000e-02,7.266667e-02
-1.520000e-02,3.653333e-02
-1.504000e-02,6.360000e-02
-1.488000e-02,5.680000e-02
-1.472000e-02,6.133333e-02
-1.456000e-02,5.013333e-02
-1.440000e-02,9.733333e-02
-1.424000e-02,5.240000e-02
-1.408000e-02,6.360000e-02
-1.392000e-02,5.680000e-02
-1.376000e-02,5.240000e-02
-1.360000e-02,5.013333e-02
-1.344000e-02,5.906667e-02
-1.328000e-02,5.240000e-02
-1.312000e-02,7.493334e-02
-1.296000e-02,9.066667e-02
-1.280000e-02,4.106667e-02
-1.264000e-02,8.613333e-02
-1.248000e-02,5.466667e-02
-1.232000e-02,5.240000e-02
-1.216000e-02,7.493334e-02
-1.200000e-02,7.040000e-02
-1.184000e-02,7.266667e-02
-1.168000e-02,7.493334e-02
-1.152000e-02,6.813333e-02
-1.136000e-02,3.880000e-02
-1.120000e-02,4.106667e-02
-1.104000e-02,5.013333e-02
-1.088000e-02,7.266667e-02
-1.072000e-02,6.360000e-02
-1.056000e-02,4.106667e-02
-1.040000e-02,4.106667e-02
-1.024000e-02,8.840000e-02
-1.008000e-02,4.786667e-02
-9.920000e-03,4.560000e-02
-9.760000e-03,3.653333e-02
-9.600000e-03,4.106667e-02
-9.440000e-03,9.293333e-02
-9.280000e-03,6.133333e-02
-9.120000e-03,4.106667e-02
-8.960000e-03,5.680000e-02
-8.800000e-03,6.813333e-02
-8.640000e-03,8.840000e-02
-8.480000e-03,6.360000e-02
-8.320000e-03,4.560000e-02
-8.160000e-03,5.680000e-02
-8.000000e-03,4.106667e-02
-7.840000e-03,3.653333e-02
-7.680000e-03,5.240000e-02
-7.520000e-03,6.133333e-02
-7.360000e-03,4.560000e-02
-7.200000e-03,4.560000e-02
-7.040000e-03,8.840000e-02
-6.880000e-03,8.160000e-02
-6.720000e-03,5.240000e-02
-6.560000e-03,3.880000e-02
-6.400000e-03,1.018667e-01
-6.240000e-03,3.440000e-02
-6.080000e-03,4.560000e-02
-5.920000e-03,3.880000e-02
-5.760000e-03,3.880000e-02
-5.600000e-03,6.813333e-02
-5.440000e-03,1.018667e-01
-5.280000e-03,7.706667e-02
-5.120000e-03,7.040000e-02
-4.960000e-03,3.880000e-02
-4.800000e-03,3.653333e-02
-4.640000e-03,4.106667e-02
-4.480000e-03,6.133333e-02
-4.320000e-03,7.706667e-02
-4.160000e-03,7.706667e-02
-4.000000e-03,7.706667e-02
-3.840000e-03,5.466667e-02
-3.680000e-03,7.266667e-02
-3.520000e-03,5.013333e-02
-3.360000e-03,4.786667e-02
-3.200000e-03,5.680000e-02
-3.040000e-03,5.466667e-02
-2.880000e-03,5.906667e-02
-2.720000e-03,2.986667e-02
-2.560000e-03,7.040000e-02
-2.400000e-03,5.013333e-02
-2.240000e-03,6.133333e-02
-2.080000e-03,4.560000e-02
-1.920000e-03,5.466667e-02
-1.760000e-03,2.986667e-02
-1.600000e-03,3.880000e-02
-1.440000e-03,2.986667e-02
-1.280000e-03,3.880000e-02
-1.120000e-03,5.906667e-02
-9.600000e-04,4.786667e-02
-8.000000e-04,4.106667e-02
-6.400000e-04,7.266667e-02
-4.800000e-04,5.466667e-02
-3.200000e-04,7.493334e-02
-1.600000e-04,4.333333e-02
-5.312591e-16,5.240000e-02
1.600000e-04,3.410267e+00
3.200000e-04,3.329067e+00
4.800000e-04,3.169200e+00
6.400000e-04,3.119733e+00
8.000000e-04,3.083600e+00
9.600000e-04,2.917067e+00
1.120000e-03,2.815600e+00
1.280000e-03,2.671467e+00
1.440000e-03,2.540933e+00
1.600000e-03,2.421600e+00
1.760000e-03,2.236933e+00
1.920000e-03,2.209867e+00
2.080000e-03,2.320133e+00
2.240000e-03,2.426000e+00
2.400000e-03,2.561200e+00
2.560000e-03,2.662533e+00
2.720000e-03,2.781867e+00
2.880000e-03,2.849467e+00
3.040000e-03,2.921467e+00
3.200000e-03,2.923733e+00
3.360000e-03,3.011600e+00
3.520000e-03,3.031867e+00
3.680000e-03,3.038667e+00
3.840000e-03,3.007067e+00
